13.070951,13.07028,13.07542,13.071994,13.078634,13.069772,13.07438
13.068029,13.067354,13.065223,13.066599,13.06918,13.063022,13.064403
13.068113,13.067477,13.065901,13.067009,13.069368,13.063371,13.065373
13.068074,13.06745,13.065817,13.066969,13.069248,13.063304,13.065323
13.068101,13.067478,13.066078,13.067078,13.069645,13.063586,13.0654335
13.06816,13.067521,13.066238,13.067171,13.069752,13.063677,13.0656
13.06815,13.0675125,13.066174,13.06714,13.0696745,13.063616,13.065561
13.068128,13.067497,13.066138,13.067116,13.069668,13.06361,13.065508
13.068116,13.067487,13.066033,13.067068,13.069517,13.063498,13.065445
,,,,,,
